Period Beginning Times,Average Date
1963-10-08,1964-03-07
1964-08-06,1965-01-09
1965-06-15,1965-11-23
1966-05-03,1966-10-15
1967-03-30,1967-09-16
1968-03-04,1968-08-25
1969-02-16,1969-08-11
1970-02-04,1970-08-02
1971-01-29,1971-07-27
1972-01-23,1972-07-20
1973-01-16,1973-07-14
1974-01-10,1974-07-08
1975-01-04,1975-07-02
1975-12-28,1976-06-24
1976-12-21,1977-06-18
1977-12-15,1978-06-12
1978-12-09,1979-06-06
1979-12-03,1980-05-30
1980-11-26,1981-05-24
1981-11-20,1982-05-18
1982-11-13,1983-05-11
1983-11-07,1984-05-04
1984-10-31,1985-04-28
1985-10-25,1986-04-22
1986-10-19,1987-04-28
1987-11-05,1988-05-20
1988-12-03,1989-06-25
1990-01-15,1990-08-13
1991-03-12,1991-09-30
1992-04-19,1992-10-29
1993-05-11,1993-11-12
1994-05-16,1994-11-08
1995-05-03,1995-10-27
1996-04-21,1996-10-10
1997-03-31,1997-09-19
1998-03-10,1998-08-31
1999-02-22,1999-08-17
2000-02-09,2000-08-06
2001-02-02,2001-08-01
2002-01-29,2002-07-30
2003-01-28,2003-07-30
2004-01-29,2004-07-31
2005-01-31,2005-08-04
2006-02-05,2006-08-10
2007-02-12,2007-08-17
2008-02-20,2008-08-24
2009-02-26,2009-08-31
2010-03-05,2010-09-06
2011-03-10,2011-09-10
2012-03-12,2012-09-11
2013-03-13,2013-09-10
2014-03-11,2014-09-08
2015-03-08,2015-09-03
2016-03-01,2016-08-28
2017-02-25,2017-08-22
2018-02-16,2018-08-09
2019-01-31,2019-07-21
2020-01-08,2020-06-23
2020-12-07,2021-05-20
2021-10-31,2022-04-09
2022-09-17,2023-02-20
2023-07-27,2024-01-04
2024-06-13,2024-11-25
2025-05-10,2025-10-26
2026-04-14,2026-10-05
2027-03-29,2027-09-22
2028-03-17,2028-09-12
2029-03-11,2029-09-06
2030-03-05,2030-08-31
2031-02-27,2031-08-25
2032-02-21,2032-08-18
2033-02-13,2033-08-11
2034-02-07,2034-08-05
2035-02-01,2035-07-30
2036-01-26,2036-07-23
2037-01-19,2037-07-17
2038-01-13,2038-07-11
2039-01-06,2039-07-04
2039-12-31,2040-06-27
2040-12-24,2041-06-21
2041-12-18,2042-06-15
2042-12-12,2043-06-09
2043-12-06,2044-06-02
2044-11-28,2045-06-07
2045-12-15,2046-06-30
2047-01-14,2047-08-06
2048-02-26,2048-09-23
2049-04-22,2049-11-10
2050-05-31,2050-12-10
2051-06-22,2051-12-23
2052-06-25,2052-12-18
2053-06-13,2053-12-07
2054-06-02,2054-11-21
2055-05-12,2055-10-31
2056-04-20,2056-10-11
2057-04-04,2057-04-04